Price ($),Weight (carats)
$853.00 ,0.47
"$1,041.00 ",0.48
"$1,120.00 ",0.48
$923.00 ,0.45
$923.00 ,0.45
"$1,087.00 ",0.46
"$1,159.00 ",0.48
$900.00 ,0.41
$824.00 ,0.41
$914.00 ,0.42
$940.00 ,0.39
"$1,219.00 ",0.47
"$1,169.00 ",0.48
"$1,103.00 ",0.47
$900.00 ,0.41
"$1,181.00 ",0.47
"$1,034.00 ",0.45
"$1,034.00 ",0.45
$931.00 ,0.41
"$1,038.00 ",0.43
$994.00 ,0.43
"$1,071.00 ",0.45
"$1,277.00 ",0.48
"$1,313.00 ",0.46
"$1,313.00 ",0.46
$879.00 ,0.37
$808.00 ,0.4
"$1,028.00 ",0.38
"$1,011.00 ",0.42
"$1,108.00 ",0.45
"$1,159.00 ",0.42
"$1,112.00 ",0.44
"$1,373.00 ",0.47
"$1,165.00 ",0.47
"$1,144.00 ",0.44
$923.00 ,0.36
$714.00 ,0.31
"$1,181.00 ",0.47
$971.00 ,0.41
$961.00 ,0.43
$818.00 ,0.37
"$1,276.00 ",0.46
$994.00 ,0.43
$963.00 ,0.41
"$1,071.00 ",0.45
"$1,009.00 ",0.44
"$1,054.00 ",0.44
$726.00 ,0.32
$982.00 ,0.44
"$1,021.00 ",0.42
$775.00 ,0.36
$820.00 ,0.33
$959.00 ,0.4
"$1,077.00 ",0.44
$787.00 ,0.32
"$1,144.00 ",0.45
"$1,094.00 ",0.45
"$1,144.00 ",0.45
"$1,395.00 ",0.48
"$1,462.00 ",0.48
"$1,395.00 ",0.48
"$1,011.00 ",0.43
"$1,351.00 ",0.46
"$1,351.00 ",0.46
"$1,144.00 ",0.45
"$1,018.00 ",0.38
$939.00 ,0.37
"$1,450.00 ",0.47
"$1,039.00 ",0.41
"$1,408.00 ",0.47
$970.00 ,0.47
"$1,022.00 ",0.46
$818.00 ,0.38
$881.00 ,0.31
$898.00 ,0.32
"$1,240.00 ",0.41
"$1,030.00 ",0.37
"$1,181.00 ",0.46
"$1,166.00 ",0.43
"$1,272.00 ",0.4
$862.00 ,0.41
"$1,086.00 ",0.49
"$1,071.00 ",0.48
