Name,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
BEML,"2,187.00",-50.29%,"2,188.00","3,33,246","36,645.50",61.31,-43.57,"4,874.80","2,350.00",-50.18%,-45.12%,-45.15%,43.69%,345.60%,6.35,0.46%,6.52%,11.44%,68.76,"4,201.93","3,738.55",13.25,60.96%,80.00%
Global Health,"1,274.60",-2.81%,"1,313.00","6,64,372","35,251.90",66.13,32.94,"1,456.50",996.45,-4.08%,-3.77%,19.42%,206.91%,206.91%,10.43,-,13.43%,17.18%,17.97,"1,360.59","1,245.70",35.47,60.00%,75.00%
Aster DM Healthcare,678.45,0.06%,679,"4,41,528","35,131.20",100.51,32.94,732.2,387.1,5.08%,15.79%,54.58%,151.70%,400.52%,9.88,0.71%,4.07%,10.39%,2.47,653.69,555.43,48.87,60.00%,75.00%
Apar Industries,"8,539.50",-1.52%,"8,676.00","1,69,961","34,829.90",37.04,34.77,"11,779.90","4,308.05",1.52%,-4.75%,-11.25%,495.71%,2892.12%,7.17,0.59%,21.29%,30.72%,206.69,"8,451.90","7,651.65",46.57,62.23%,80.00%
Delhivery,472.25,1.35%,466.8,"17,77,980","34,825.80",175.36,25.16,489.1,236.53,7.99%,2.31%,33.57%,22.60%,-11.95%,3.7,-,-2.72%,2.66%,-,467.34,369.63,52.41,75.00%,70.00%
SJVN,88.01,-0.02%,88.3,"18,22,616","34,594.00",50.33,7.39,124.5,80.54,-3.78%,-5.46%,-21.00%,151.82%,296.44%,2.44,1.66%,9.81%,4.47%,2.35,91.97,94.37,37.2,71.64%,80.00%
Tata Elxsi,"5,434.00",-0.38%,"5,453.00","67,952","33,977.50",50.7,19.14,"7,474.00","4,700.00",1.47%,-9.90%,-22.76%,-21.16%,255.21%,12.58,1.37%,36.00%,52.73%,126.48,"5,485.05","5,830.04",46.82,76.00%,80.00%
Go Digit General Insurance,362.4,1.05%,356.85,"2,00,184","33,114.50",65.2,10.51,381.4,264.6,7.03%,0.58%,6.64%,18.43%,18.43%,7.15,-,5.31%,-3.88%,2.45,355.89,327.9,56.17,60.00%,70.00%
Hindustan Copper,341.75,0.44%,342,"40,56,269","32,903.00",67.64,19.8,365.5,183.82,0.99%,40.07%,17.28%,225.79%,927.82%,12.37,0.43%,14.18%,21.26%,3.74,300.5,252.63,56.04,70.91%,80.00%
Exide Industries,383.3,0.37%,382,"11,19,862","32,461.50",38,80.72,472.5,328,-3.71%,-1.92%,-13.87%,132.51%,139.34%,2.33,0.52%,6.84%,8.57%,10.29,401.47,381.59,39.39,76.00%,80.00%
