MPG City,Weight (000 lbs),Gallons / (100 miles),Weight,Model
27,2.694,3.7037037,2694,2003 Acura RSX 5-speed MT Current
20,3.47,5,3470,2003 Acura 3.2 CL 5-spd AT Current
18,3.898,5.55555556,3898,2003 Acura 3.5 RL Sedan Current
17,3.153,5.88235294,3153,2003 Acura NSX 3.2 6-Speed MT Current
17,4.42,5.88235294,4420,2003 Acura MDX Sport Utility Current
21,3.23,4.76190476,3230,2004 Acura TSX 6-speed MT Current
11,3.925,9.09090909,3925,2003 Aston Martin DB7 Vantage Coupe Current
15,4.024,6.66666667,4024,2003 Audi S6 Avant Current
17,4.068,5.88235294,4068,2003 Audi A8 4.2 Current
16,4.068,6.25,4068,2003 Audi S8 4.2 Current
22,3.252,4.54545455,3252,2004 Audi A4 1.8 T Current
21,2.921,4.76190476,2921,2004 Audi TT 180 Coupe FrontTrak Current
16,4.178,6.25,4178,2004 Audi allroad quattro 2.7 T Current
20,3.561,5,3561,2004 Audi A6 3.0 with Multitronic Current
20,2.965,5,2965,2003 BMW Z4 roadster 2.5i Current
20,3.4775,5,3477.5,2003 BMW 5 Series 525i sedan Current
16,3.415,6.25,3415,2003 BMW M3 Coupe Current
13,4.024,7.69230769,4024,2003 BMW M5 sedan Current
18,4.376,5.55555556,4376,2003 BMW 7 Series 745i Sedan Current
13,3.495,7.69230769,3495,2003 BMW Z8 convertible
15,4.5595,6.66666667,4559.5,2003 BMW X5 3.0i Sports Activity Vehicle Current
20,3.241,5,3241,2004 BMW 3 Series 325Ci Coupe Current
20,3.342,5,3342,2004 Buick Century Sedan Current
19,3.418,5.26315789,3418,2004 Buick Regal LS Current
20,3.567,5,3567,2004 Buick LeSabre Custom Current
19,4.024,5.26315789,4024,2004 Buick Rendezvous FWD CX Current
20,3.778,5,3778,2004 Buick Park Avenue Sedan Current
17,3.647,5.88235294,3647,2004 Cadillac XLR Convertible Current
18,4.164,5.55555556,4164,2004 Cadillac SRX V6 Current
18,3.5385,5.55555556,3538.5,2004 Cadillac CTS Sedan Current
18,3.978,5.55555556,3978,2004 Cadillac DeVille Sedan Current
18,3.969,5.55555556,3969,2004 Cadillac Seville SLS Current
14,5.367,7.14285714,5367,2004 Cadillac Escalade 2WD Current
26,2.617,3.84615385,2617,2004 Chevrolet Cavalier Coupe Current
23,3.174,4.34782609,3174,2004 Chevrolet Malibu Sedan Current
21,3.389,4.76190476,3389,2004 Chevrolet Impala Sedan Current
21,3.34,4.76190476,3340,2004 Chevrolet Monte Carlo LS Current
18,3.214,5.55555556,3214,2004 Chevrolet Corvette Coupe Current
19,2.906,5.26315789,2906,2004 Chevrolet Tracker Base 2WD Current
16,4.425,6.25,4425,2004 Chevrolet TrailBlazer LS 2WD Current
15,3.611,6.66666667,3611,2004 Chevrolet Blazer 2-Door 2WD LS Current
14,4.828,7.14285714,4828,2004 Chevrolet Tahoe 2WD Current
14,5.323,7.14285714,5323,2004 Chevrolet Suburban 1500 2WD Current
19,3.699,5.26315789,3699,2004 Chevrolet Venture Regular Wheelbase Plus Current
16,4.321,6.25,4321,2004 Chevrolet Astro Passenger Van Rear Wheel Drive Current
15,5.245,6.66666667,5245,2004 Chevrolet Express Passenger Van 1500 Regular Wheelbase Current
22,2.972,4.54545455,2972,2003 Chevrolet Truck S-10 Regular Cab Short Box 2WD Current
21,3.149,4.76190476,3149,2003 Chrysler PT Cruiser Base Current
21,3.869,4.76190476,3869,2003 Chrysler Voyager Base Current
